keys,description,es
commonCertificate,Certificate,Certificado
commonNext,Next,Siguiente
commonPolicy,Policy,Póliza
commonClaims,Claims,Siniestros
commonInsuranceCommercial,Insurance commercial,Seguro de comercios
commonInsuranceResponsability,Insurance responsability,Seguro de Responsabilidad Civil
commonInsuranceCibersecurity,Insurance cibersecurity,Seguro de Ciberseguridad
commonInsuranceHealth,Insurance health,Seguro de Salud
commonInsuranceAccidents,Insurance accidents,Seguro de Accidentes
commonPhone,Phone,Teléfono
commonEmail,Email,Mail
commonCity,City,Ciudad
commonContact,Contact,Contactar
commonDescription,Description,Descripción
commonVoucher,Voucher,Comprobante
commonAttachments,Attachments,Adjuntos
commonGettingHelp,Getting help,Obtener ayuda
commonAddFile,Add file,Añadir archivo
commonCreateExpense,Create expense,Crear gasto
commonBankingInformation,Banking information,Información bancaria
commonMovementDetails,Movement details,Detalles de movimiento
commonBeneficiary,Beneficiary,Beneficiario
commonConcept,Concept,Concepto
commonProgrammed,Programmed,Programado
commonCurrency,Currency,Divisa
commonDownload,Download,Descargar
commonTransferTypeOrdinary,Ordinary,Ordinaria
commonTransferTypeImmediate,Immediate,Inmediata
commonFrom,From,Desde
commonTo,To,Hasta
commonDate,Date,Fecha
commonDateSince,Since,Desde
commonDateSinceDate,Since with date,Desde {date}
commonDateUntil,Until,Hasta
commonDateDispatch,Date of dispatch,Fecha de envío
commonDateEstimatedArrival,Estimated arrival,Llegada estimada
commonDateToday,Today,Hoy
commonDateYesterday,Yesterday,Ayer
commonDateYear,Year,Año
commonDateMonth,Month,Mes
commonDateDay,Day,Día
commonFrequency,Frequency,Frecuencia
commonFrequencyDaily,Daily,Diariamente
commonFrequencyWeekly,Weekly,Semanalmente
commonFrequencyMonthly,Monthly,Mensualmente
commonFrequencyQuarterly,Quarterly,Trimestralmente
commonFrequencyYearly,Yearly,Anualmente
commonFrequencyOccasional,Occasional,Puntual
commonPeriodicity,Periodicity,Periodicidad
commonAmountFrom,Amount from,Desde
commonAmountTo,Amount to,Hasta
commonNoConcept,No concept,Sin concepto
commonCountriesSpain,Spain,España
commonCountriesPortugal,Portugal,Portugal
commonCountriesFrance,France,Francia
commonCorporateName,Name or corporate name,Nombre o razón social
commonHolder,Holder,Titular
commonTransferFee,Transfer fee,Comisión de transferencia
commonConfirm,Confirm,Confirmar
commonSignatureOperation,Signature of operation,Firma de operación
commonSeeMoreReceipts,See more receipts from the issuer,Ver más recibos del emisor
commonRefuseCollection,Refuse collection,Rechazar cobro
commonAccountNumber,Account number,Número de cuenta
commonRequestCertificateName,Request a certificate,Solicitar certificado de {name}
commonIssuerName,Issuer Name,Nombre Emisor
commonDetailsMovement,Details of the movement,Detalles del movimiento
commonSave,Save,Guardar
commonAttachmentDeleted,Attachment deleted,Documento adjunto eliminado
