keys,description,es
dailyBankingAccountsCertificatesPaymentOtpTitle,Title of otp page,Confirmación pago
dailyBankingAccountsCertificatesPaymentOtpButton,Text of button of otp page to confirm certificate payment,Pagar certificado
dailyBankingAccountsCertificatesPaymentOtpSuccessTitle,Title of the alert bottom sheet when the certificate is paid for,¡Pago realizado!
dailyBankingAccountsCertificatesPaymentOtpSuccessDescription,Description of the alert bottom sheet when the certificate is paid for,Tu certificado ya está listo.
dailyBankingAccountsCertificatesPaymentOtpSuccessButton,Button of the alert bottom sheet when the certificate is paid for,Ver certificado
dailyBankingAccountsCertificatesPaymentOtpErrorTitle,Title of the alert bottom sheet when the certificate could not be paid for,Error realizando el pago
dailyBankingAccountsCertificatesPaymentOtpErrorDescription,Description of the alert bottom sheet when the certificate could not be paid for,Ha ocurrido un error al realizar el pago.
dailyBankingAccountsCertificatesDownloadIndex,Documentation index,Índice de documentación
dailyBankingAccountsCertificatesDownloadButton,Button download,Descargar certificado
dailyBankingAccountsCertificatesDownloadSuccessButton,Open certificate,Abrir certificado
dailyBankingAccountsCertificatesDownloadSuccessAlertTitle,Alert when the certificate has been successfully downloaded,La descarga se ha realizado con éxito.
dailyBankingAccountsCertificatesDownloadSuccessAlertAction,Action of alert when the certificate has been successfully downloaded,Abrir documento
dailyBankingAccountsCertificatesDownloadErrorAlertTitle,Alert when the certificate has not been downloaded,Ha ocurrido un error al descargar el documento.
dailyBankingAddMoneyTitle,Add money title,Añadir dinero
dailyBankingAddMoneyBalance,Add money balance,Saldo {amount}
dailyBankingAddMoneyButtonConfirm,Add money button confirm,Añadir dinero
dailyBankingMovementDetails,Details of movement,Detalles de movimiento
dailyBankingMovementDetailsMenuViewMoreIssuerReceipts,See more receipts from the issuer,Ver más recibos del emisor
dailyBankingMovementDetailsMenuRefuseCharge,Refuse charge,Rechazar cobro
dailyBankingMovementDetailsModalTitel,Title of alert bottom sheet to reject charge,¿Quieres rechazar el cobro?
dailyBankingMovementDetailsModalDescription,Description of alert bottom sheet to reject charge,"Al rechazar este cobro, se notificará al remitente y se iniciarán los procesos correspondientes para resolver cualquier discrepancia."
dailyBankingMovementDetailsModalButtonReject,Button Reject of alert bottom sheet to reject charge,Rechazar
dailyBankingCardMovementDetailsDownloadSuccessAlertTitle,Title of success alert when downloading the voucher,La descarga se realizado con éxito.
dailyBankingCardMovementDetailsDownloadSuccessAlertAction,Action of success alert when downloading the voucher,Abrir documento
dailyBankingCardMovementDetailsUploadFileModalTitle,Title of the file upload modal,Añadir archivo
dailyBankingCardMovementDetailsUploadFileModalScan,Action of scan,Escanear
dailyBankingCardMovementDetailsUploadFileModalGalery,Action of galery,Galería
dailyBankingCardMovementDetailsUploadFileModalDocumento,Action of document,Documento
dailyBankingCardMovementDetailsUploadFileErrorAlertTitle,Title of error alert when upload the file,Error al subir archivo
dailyBankingCardMovementDetailsReceipt,Receipt,Recibo
dailyBankingCardMovementDetailsUploadFile,Upload file,Subir archivo
dailyBankingCardMovementDetailsExpense,Expense,Gasto
dailyBankingCardMovementDetailsCreateExpense,Create expense,Crear gasto
dailyBankingDirectDebitMovementDetailsMaximumReturnDate,Maximum return date,Fecha máxima devolución
dailyBankingDirectDebitMovementDetailsReturnedReceipt,Returned receipt,Recibo devuelto
dailyBankingDirectDebitMovementDetailsNameIssuer,Name of issuer,Nombre emisor
dailyBankingDirectDebitMovementDetailsMandatoryReference,Mandatory reference,Referencia mandato
dailyBankingDebitMovementDetailsPaymentDate,Payment date,Fecha pago
dailyBankingDebitMovementDetailsChargeDate,Charge date,Fecha cargo
dailyBankingDebitMovementDetailsNameIssuer,Name of issuer,Nombre emisor
dailyBankingDebitMovementDetailsMandatoryReference,Mandatory reference,Referencia mandato
dailyBankingDebitMovementDetailsIdentifier,Identifier,Identificador
dailyBankingTaxesMovementDetailsPeriodImposed,Period imposed,Periodo impuesto
dailyBankingTaxesMovementDetailsChargeDate,Charge date,Fecha cargo
dailyBankingTaxesMovementDetailsNameIssuer,Name of issuer,Nombre emisor
dailyBankingTaxesMovementDetailsMandateReference,Mandate reference,Referencia de mandato
dailyBankingTaxesMovementDetailsTypeMovement,Type of movement,Tipo de movimiento
dailyBankingTaxesMovementDetailsIdentifier,Identifier,Identificador
dailyBankingTransfersSentMovementDetailsPeriodicTransfer,Periodic transfer,Transferencia periódica
dailyBankingTransfersSentMovementDetailsChargeDate,Charge date,Fecha cargo
